1.445742;10.68879;1
16.184001;11.979759;0
-2.431438;-0.214692;0
16.795491;-6.015701;1
-14.455983;7.037252;0
24.289007;-7.893345;0
10.787565;10.288313;0
4.144885;22.386458;1
14.141108;14.224307;1
20.845226;-2.951956;0
12.17064;3.868723;0
-5.344828;23.453909;0
-9.75203;21.427734;1
22.132832;16.29821;1
1.669596;3.390069;1
-5.673492;-2.548955;1
0.640441;11.910766;0
12.027472;-8.066581;0
23.804742;-2.322581;0
-2.185039;8.109377;0
-3.786196;-1.942219;1
-24.335227;5.297121;0
5.720556;19.002591;1
6.70195;-18.45448;0
-0.038034;16.659927;1
11.69324;9.744152;1
8.175043;-23.677399;0
12.387358;-13.937204;1
18.567968;-15.064027;1
8.818334;-19.92628;0
